landslide_id,status,scene_id,scene_cloud,patch_cloud,acquisition_date,window_used,tif_path,png_path,error
LS_00001,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00001.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00001.png,
LS_00002,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00002.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00002.png,
LS_00003,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00003.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00003.png,
LS_00004,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00004.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00004.png,
LS_00005,success,S2A_MSIL2A_20251204T050621_R076_T44NMP_20251204T062312,24.902482,0.0,2025-12-04,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00005.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00005.png,
LS_00006,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00006.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00006.png,
LS_00007,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00007.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00007.png,
LS_00008,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00008.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00008.png,
LS_00009,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00009.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00009.png,
LS_00010,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00010.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00010.png,
LS_00011,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00011.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00011.png,
LS_00012,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00012.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00012.png,
LS_00013,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00013.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00013.png,
LS_00014,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00014.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00014.png,
LS_00015,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00015.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00015.png,
LS_00016,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00016.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00016.png,
LS_00017,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00017.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00017.png,
LS_00018,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00018.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00018.png,
LS_00019,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00019.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00019.png,
LS_00020,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,2.25,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00020.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00020.png,
LS_00021,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.0,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00021.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00021.png,
LS_00022,success,S2B_MSIL2A_20251130T050049_R119_T44NMP_20251130T071239,6.490579,0.29,2025-11-30,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00022.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00022.png,
LS_00023,success,S2C_MSIL2A_20260114T050151_R119_T44NMP_20260114T080009,45.836863,0.1,2026-01-14,2025-12-16/2026-01-31,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00023.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00023.png,
LS_00024,success,S2C_MSIL2A_20251205T050211_R119_T44NMP_20251205T075508,39.278153,0.29,2025-12-05,2025-11-29/2025-12-15,E:\LandSlide-Prediction\data\post_event\native_tif\LS_00024.tif,E:\LandSlide-Prediction\data\post_event\png_256\LS_00024.png,
