landslide_id,status,scene_id,scene_cloud,patch_cloud,acquisition_date,window_used,tif_path,png_path,error
LS_00002,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00002.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00002.png,
LS_00005,success,S2C_MSIL2A_20251003T050621_R076_T44NMP_20251003T090812,2.112417,0.0,2025-10-03,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00005.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00005.png,
LS_00006,success,S2C_MSIL2A_20251003T050621_R076_T44NMP_20251003T090812,2.112417,0.0,2025-10-03,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00006.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00006.png,
LS_00011,success,S2C_MSIL2A_20251003T050621_R076_T44NMP_20251003T090812,2.112417,0.0,2025-10-03,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00011.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00011.png,
LS_00020,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.1,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00020.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00020.png,
LS_00025,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00025.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00025.png,
LS_00028,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,19.04,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00028.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00028.png,
LS_00032,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00032.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00032.png,
LS_00035,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00035.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00035.png,
LS_00040,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00040.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00040.png,
LS_00041,success,S2B_MSIL2A_20251031T045839_R119_T44NMP_20251031T072153,16.524501,0.0,2025-10-31,2025-09-01/2025-11-20,E:\LandSlide-Prediction\data\pre_event\native_tif\LS_00041.tif,E:\LandSlide-Prediction\data\pre_event\png_256\LS_00041.png,
