landslide_id,label,block_id,split,longitude,latitude,elev_mean,slope_mean
LS_00002,1,44_85,val,80.51683883666992,7.710088729858398,280.5565795898437,21.30812263488769
LS_00005,1,48_84,train,80.88276280854878,7.63932991027832,230.6499938964844,17.103866577148438
LS_00006,1,47_84,train,80.74507126055266,7.611654281616211,353.8070678710937,16.783597946166992
LS_00011,1,47_84,train,80.74383745193481,7.618221282958984,295.9005432128906,19.33814239501953
LS_00020,1,43_84,test,80.43869334661395,7.600591861936891,153.54562377929688,12.478599548339844
LS_00025,1,43_84,test,80.44469239758857,7.621555640685408,215.82293701171875,18.728883743286133
LS_00028,1,43_84,test,80.42002067868671,7.623325347900391,282.69171142578125,24.884315490722656
LS_00032,1,43_84,test,80.41519943086126,7.608426845055674,363.6575622558594,31.060131072998047
LS_00035,1,43_84,test,80.40518124898274,7.625118255615234,349.1222839355469,26.065868377685547
LS_00040,1,43_84,test,80.41499582926431,7.601989746093751,345.0128173828125,28.32147789001465
LS_00041,1,43_83,train,80.41586235591343,7.593391418457031,190.30642700195312,16.939149856567383
LS_00046,1,43_83,train,80.40971607632108,7.598752975463867,232.27020263671875,22.15074157714844
LS_00047,1,43_83,train,80.36613898277282,7.533100128173828,262.7344665527344,24.723464965820312
LS_00053,1,46_83,train,80.68380387624106,7.598594665527344,550.4434204101562,22.88184356689453
LS_00057,1,46_83,train,80.6759934425354,7.596155166625977,400.7863159179688,16.115398406982422
LS_00059,1,46_84,val,80.69453430175781,7.603395462036133,815.3941040039062,26.773887634277344
LS_00063,1,47_83,train,80.7437105178833,7.574085235595703,407.9562072753906,13.34194564819336
LS_00066,1,47_83,train,80.78065518538156,7.512409210205078,469.9879760742188,21.48750686645508
LS_00073,1,48_82,test,80.8869047164917,7.443538665771484,713.5860595703125,19.66581344604492
LS_00076,1,48_82,test,80.89619318644205,7.437519073486328,673.7471313476562,22.24961471557617
LS_00077,1,48_82,test,80.90897769927979,7.436395645141602,357.6201171875,13.63459587097168
LS_00082,1,48_82,test,80.89709490117892,7.430517196655273,620.0927124023438,16.476383209228516
LS_00084,1,48_82,test,80.89128398895264,7.430421829223633,848.85986328125,26.537620544433597
LS_00086,1,48_81,val,80.88670744214738,7.417448043823242,1164.986572265625,30.20586395263672
LS_00089,1,48_81,val,80.89321231842041,7.414026260375977,1050.2548828125,29.469640731811523
LS_00092,1,49_82,train,80.91912937164307,7.434469223022461,239.1280517578125,11.616358757019045
LS_00093,1,48_82,test,80.86098204718695,7.478647232055664,581.6474609375,20.09113311767578
LS_00094,1,48_82,test,80.85299110412598,7.464570999145509,541.3896484375,24.491680145263672
LS_00098,1,48_82,test,80.84632746621173,7.460684674601051,778.0665283203125,25.623126983642575
LS_00100,1,48_82,test,80.84213471412659,7.453945159912109,638.021240234375,23.19974708557129
LS_00102,1,48_82,test,80.83835124969482,7.445268630981445,503.55462646484375,24.950517654418945
LS_00104,1,48_82,test,80.83584594726562,7.43964958190918,723.9790649414062,32.914390563964844
LS_00112,1,48_82,test,80.85133965810141,7.42982292175293,339.4340515136719,20.483348846435547
LS_00113,1,48_82,test,80.89238529205322,7.420053482055664,868.2039794921875,20.573711395263672
LS_00117,1,48_82,test,80.82170508458064,7.426992416381836,733.8302612304688,28.84231185913086
LS_00126,1,48_82,test,80.82098020826066,7.44398307800293,926.6143798828124,32.803611755371094
LS_00134,1,48_82,test,80.85150194168091,7.498687744140625,419.7691650390625,19.19854736328125
LS_00135,1,47_82,train,80.77836537361145,7.498706817626953,507.177001953125,27.72357940673828
LS_00138,1,47_82,train,80.76943039894104,7.508712768554687,650.9949951171875,25.421356201171875
LS_00146,1,47_82,train,80.76694808006286,7.489015579223633,705.52880859375,27.464597702026367
LS_00152,1,47_82,train,80.80588376522064,7.433174133300781,1060.8072509765625,34.24089813232422
LS_00153,1,47_82,train,80.78423595428467,7.452409744262695,952.3628540039062,25.51590347290039
LS_00159,1,46_82,train,80.72392904758453,7.440322875976562,1025.7620849609375,10.56362247467041
LS_00160,1,46_82,train,80.71707057952881,7.430984497070312,1193.3828125,25.88605117797852
LS_00163,1,46_82,train,80.68126410885012,7.491811994877983,540.409423828125,17.28419303894043
LS_00165,1,46_82,train,80.70904731750488,7.444787979125977,1185.7989501953125,21.88946914672852
LS_00168,1,48_81,val,80.86381936073303,7.405738830566406,849.3441162109375,27.515926361083984
LS_00169,1,48_81,val,80.86922264099121,7.409107208251953,683.4674072265625,24.688644409179688
LS_00170,1,48_81,val,80.86553730684167,7.41473388671875,532.7166748046875,19.330707550048828
LS_00173,1,47_81,train,80.81614685058594,7.412872314453125,1161.60400390625,40.61866760253906
LS_00176,1,48_81,val,80.90801544189453,7.3940887451171875,771.54638671875,19.714279174804688
LS_00180,1,48_81,val,80.9009937286377,7.401723861694336,969.9901123046876,25.437255859375
LS_00184,1,42_80,train,80.28737020492554,7.248645782470703,212.76727294921875,16.014375686645508
LS_00185,1,49_79,val,80.93074617385864,7.174673080444336,844.0780639648438,22.979854583740234
LS_00189,1,46_79,test,80.67240357398987,7.19975471496582,802.9229736328125,9.618175506591797
LS_00190,1,46_79,test,80.70130920410156,7.199590682983398,1243.596435546875,20.734176635742188
LS_00192,1,46_79,test,80.69132137298584,7.164762496948242,1264.689697265625,22.239303588867188
LS_00197,1,44_79,train,80.54301261901855,7.177806854248047,740.678955078125,21.325855255126957
LS_00200,1,44_79,train,80.52674751281738,7.153957366943359,580.34033203125,26.484325408935547
LS_00202,1,44_79,train,80.50492858886719,7.147193908691406,365.7185974121094,23.972434997558597
LS_00204,1,44_78,train,80.479847240448,7.145071029663086,250.09149169921875,9.623868942260742
LS_00210,1,43_78,val,80.39598970155458,7.117237091064453,704.861083984375,22.570087432861328
LS_00211,1,43_78,val,80.41932845115662,7.124977111816406,575.261474609375,21.378660202026367
LS_00213,1,43_78,val,80.42759919166565,7.121246337890625,807.0706176757812,16.59548568725586
LS_00215,1,43_78,val,80.41905001231602,7.105777740478516,985.1773681640624,20.073244094848636
LS_00217,1,43_78,val,80.423348903656,7.098064422607422,726.68896484375,24.220378875732425
LS_00218,1,43_78,val,80.4245921997797,7.078104019165039,594.1536865234375,22.343828201293945
LS_00219,1,43_78,val,80.4324813570295,7.082193374633789,767.2518310546875,27.36682891845703
LS_00220,1,43_78,val,80.44757095972696,7.089103698730469,1065.4598388671875,17.785476684570312
LS_00221,1,43_78,val,80.43952751159668,7.098320007324219,918.2991943359376,15.720078468322754
LS_00223,1,44_78,train,80.52363699952329,7.124127717746056,759.1444091796875,16.245725631713867
LS_00226,1,44_78,train,80.464106798172,7.065547943115234,1031.918212890625,14.788917541503906
LS_00227,1,45_78,test,80.61561479287988,7.072349548339844,1018.3877563476562,27.25671768188477
LS_00230,1,45_78,test,80.60960003425336,7.06901741027832,935.3710327148438,28.7762451171875
LS_00232,1,45_78,test,80.59076900482178,7.075588226318359,911.9581298828124,22.09134292602539
LS_00233,1,45_78,test,80.62550163269043,7.065557479858398,833.302490234375,18.48594665527344
LS_00235,1,46_78,val,80.71444830336678,7.138773549369386,1074.999267578125,20.141647338867188
LS_00239,1,46_79,test,80.6990234375,7.156047821044922,1231.98681640625,27.556245803833008
LS_00240,1,46_79,test,80.70384898400816,7.151398160708194,1168.8924560546875,27.275367736816406
LS_00244,1,46_78,val,80.70741415023804,7.125612258911133,1270.3177490234375,19.451175689697266
LS_00245,1,47_78,test,80.73769844902887,7.135631561279297,903.4423828125,23.723072052001957
LS_00247,1,47_78,test,80.75073733329774,7.138839721679688,818.14794921875,16.619964599609375
LS_00250,1,50_77,train,81.06787495386033,7.009748458862305,810.948486328125,25.544288635253903
LS_00251,1,49_76,train,80.9935827255249,6.965194702148437,1030.7373046875,19.52324485778809
LS_00253,1,49_77,test,80.99533544267928,7.03422737121582,980.484619140625,22.33125686645508
LS_00256,1,49_77,test,80.9781092779977,7.00929069519043,683.3167724609375,31.13354110717773
LS_00257,1,50_77,train,81.05954005501488,7.050420761108398,434.9708251953125,21.08765411376953
LS_00258,1,50_78,train,81.06703262329101,7.060201644897461,480.88323974609375,25.17391586303711
LS_00259,1,50_78,train,81.05754566192627,7.075288772583008,366.4659423828125,20.41587829589844
LS_00264,1,49_75,test,80.99686209360758,6.789178848266602,1596.56298828125,17.82149887084961
LS_00269,1,46_77,train,80.6893478694715,7.034336090087891,1568.0675048828125,22.59697914123535
LS_00273,1,46_77,train,80.70461511611938,7.02998161315918,1533.601318359375,23.040977478027344
LS_00275,1,46_77,train,80.72123399902793,7.043214797973633,1564.4625244140625,21.36481666564941
LS_00277,1,47_77,val,80.77864360809326,7.02978515625,1365.1070556640625,27.484575271606445
LS_00282,1,48_77,train,80.8400965643104,6.995906057844112,1874.96337890625,20.576068878173828
LS_00285,1,48_77,train,80.85539240292965,6.9795288052968125,1886.624755859375,30.60242462158203
LS_00287,1,49_77,test,80.96535046895346,7.036741256713867,579.9200439453125,25.84517478942871
LS_00290,1,49_77,test,80.96472644805908,7.021625518798828,587.2308349609375,24.87105178833008
LS_00292,1,49_77,test,80.95984363555908,7.001970291137695,991.0453491210938,32.51882553100586
LS_00295,1,50_78,train,81.04488547643027,7.065513610839844,664.310791015625,29.99245262145996
LS_00297,1,51_78,test,81.17777114055312,7.106709150278085,766.4410400390625,22.47209930419922
LS_00299,1,51_78,test,81.17133013407388,7.105926513671875,695.0926513671875,17.581321716308594
LS_00300,1,51_78,test,81.17259502410889,7.113002777099609,602.7611083984375,23.30792808532715
LS_00301,1,51_78,test,81.16683053970337,7.111457824707031,726.8904418945312,26.14009094238281
LS_00304,1,51_78,test,81.15374612808228,7.12211799621582,935.7478637695312,27.171092987060547
LS_00308,1,51_78,test,81.1630564265781,7.098564147949219,1299.838134765625,34.46623229980469
LS_00312,1,51_78,test,81.16763553619384,7.090301513671875,1166.89013671875,32.836395263671875
LS_00315,1,51_78,test,81.17915855754507,7.08833122253418,1031.3076171875,27.35495948791504
LS_00321,1,51_78,test,81.09365940093994,7.062713623046875,1019.5735473632812,31.43069839477539
LS_00327,1,51_78,test,81.11439590454101,7.081878662109375,483.60101318359375,23.08768653869629
LS_00328,1,51_77,train,81.10617923736572,7.053678512573242,665.3372802734375,18.89448356628418
LS_00329,1,51_78,test,81.10938630785262,7.062437057495117,485.35931396484375,31.83010673522949
LS_00330,1,51_78,test,81.14111920886252,7.082880752256436,732.7425537109375,29.42722511291504
LS_00331,1,51_78,test,81.1775647163391,7.062419891357422,970.995361328125,19.19744873046875
LS_00332,1,51_78,test,81.1741590499878,7.067926406860352,1115.2908935546875,23.898868560791016
LS_00334,1,51_77,train,81.17853060635653,7.050458908081055,1100.886474609375,20.386417388916016
LS_00335,1,51_77,train,81.17767129989869,7.041851043701172,1193.312744140625,28.942672729492188
LS_00336,1,52_77,test,81.19094467163086,7.041513442993164,861.98388671875,15.141068458557127
LS_00337,1,52_77,test,81.19641314482175,7.044598051329725,796.9996337890625,15.397575378417969
LS_00340,1,52_77,test,81.2208200754053,7.050400665006248,805.2240600585938,27.82457733154297
LS_00341,1,52_77,test,81.21955915371635,7.02498002584746,672.1396484375,26.34652709960937
LS_00346,1,52_77,test,81.21966489156088,7.032831192016601,767.154052734375,27.19702911376953
LS_00347,1,52_77,test,81.20056533813477,7.024534225463867,768.380126953125,12.418054580688477
LS_00348,1,52_77,test,81.22142219543457,7.042675018310547,688.5604248046875,23.96832656860352
LS_00350,1,51_77,train,81.16990694632898,7.012855529785156,1296.1064453125,21.04314422607422
LS_00353,1,51_77,train,81.17538070678711,7.017122268676758,1361.2933349609375,26.9755973815918
LS_00354,1,51_77,train,81.14838886260986,7.009729385375977,799.9547119140625,28.146900177001957
LS_00355,1,51_77,train,81.1340939203898,7.020551681518555,470.7998352050781,20.398067474365234
LS_00357,1,51_77,train,81.131019115448,6.980562210083008,1112.754150390625,29.072429656982425
LS_00359,1,51_77,train,81.14018806037438,6.9696002163232285,954.28515625,17.5419921875
LS_00363,1,51_77,train,81.13713312149048,6.975109100341797,1086.591796875,18.3612060546875
LS_00365,1,51_76,test,81.12383460998535,6.937723159790039,1270.527587890625,26.4837703704834
LS_00366,1,50_76,val,81.05505164464316,6.925617218017578,910.0020751953124,23.1510009765625
LS_00368,1,51_76,test,81.09670738008117,6.921538776331795,1261.0400390625,26.9952335357666
LS_00371,1,51_76,test,81.1243839263916,6.909837722778319,1138.892822265625,23.834884643554688
LS_00373,1,51_76,test,81.13429737091064,6.92680549621582,1164.824951171875,24.68486785888672
LS_00377,1,51_76,test,81.12760776943631,6.917520523071289,1300.063720703125,30.229305267333984
LS_00378,1,51_76,test,81.13019680976868,6.93525505065918,1147.984375,24.119853973388672
LS_00380,1,50_77,train,81.01707663536072,7.044254302978516,1161.5809326171875,25.95216941833496
