variant,seed,roc_auc,pr_auc
optical only (5ch),42,0.7479728248959017,0.6648743290896497
optical only (5ch),43,0.7493475185782879,0.6799492002523891
optical only (5ch),44,0.7513298667144821,0.6849870652040808
terrain only (3ch),42,0.8123841969995816,0.7184556134504673
terrain only (3ch),43,0.8156615464307773,0.7093794401305213
terrain only (3ch),44,0.8097095212479829,0.6999303943476933
no curvature (7ch),42,0.8132807363576594,0.720534619853698
no curvature (7ch),43,0.8164584703046243,0.7504410646994515
no curvature (7ch),44,0.8209411670950133,0.7529849652903491
full (8ch),42,0.8222760145837069,0.7552167438334636
full (8ch),43,0.8188093957324726,0.7417953907377921
full (8ch),44,0.8189887036040882,0.7472561441552203
