,roc_auc,pr_auc
MLP (no spatial structure),0.834,0.776
3 handcrafted + SVM,0.8262158069850377,0.7765920302094721
full (8ch),0.82,0.748
2 handcrafted + RF,0.8182714721176259,0.7590225472416602
no curvature (7ch),0.817,0.741
ResNet-18 transfer,0.813518153261743,0.7523694554933718
terrain only (3ch),0.813,0.709
1 slope-only LR,0.7887055963979042,0.6837445593185275
4 RF (terrain only),0.7877692108461338,0.7086611117605404
optical only (5ch),0.75,0.677
4 RF (optical only),0.7290658059888828,0.6617635085294069
5 slope-only (elev-matched),0.7119780084012849,0.7510076307762823
0 majority class,0.5,0.4489795918367347
